Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ths-greifswald.ttp-fhir-gw.gpas.json	15832	-	0	0	0	0	0	0	13	64	0	0	0	0	0	0	0	0	0	0	113	132	0	0	0	7	0	1
fsh-generated/resources/CodeSystem-BloomfilterTypeCS.json	955	4	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	13	534	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ConsentComponentTypeCS.json	1131	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0	0	9	73	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyActionCS.json	12089	5	0	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	30	87	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyActorCS.json	3078	3	0	0	1	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	16	102	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ConsentPolicyClassCS.json	12272	5	0	0	0	0	1	0	2	10	0	0	0	0	0	0	0	0	0	0	30	93	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-ConsentPolicyPurposeCS.json	26682	8	0	0	0	0	0	0	4	18	0	0	0	0	0	0	0	1	0	0	46	130	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-ConsentStatusCS.json	4784	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	16	41	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DesignationUseCS.json	1038	2	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	49	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IdMatchingTypeCS.json	1043	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	63	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-IdatElementsCS.json	1937	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	12	40	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-MatchStatusCS.json	1463	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	30	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PolicyCS.json	13174	4	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	48	60	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-SaveActionCS.json	1219	3	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	1	0	0	10	34	0	0	0	1	0	0
fsh-generated/resources/OperationDefinition-AnonymizeOriginals.json	2575	2	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-DePseudonymize.json	3348	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	1	0	0
